iter	Passed	Remaining
219	217429	770885
220	218570	770436
221	219628	769688
222	220531	768400
223	221725	768119
224	222597	766725
225	223683	766067
226	223966	762669
227	225079	762111
228	226267	761800
229	227264	760843
230	228603	761023
231	229757	760577
232	230949	760248
233	232097	759771
234	233085	758768
235	234083	757795
236	235179	757138
237	236343	756695
238	237602	756550
239	238555	755425
240	239689	754871
241	240778	754172
242	241916	753625
243	243115	753260
244	244282	752790
245	245384	752113
246	246354	751032
247	247536	750595
248	248565	749689
249	249633	748901
250	250844	748535
251	252032	748095
252	253249	747735
253	254311	746915
254	255326	745954
255	256434	745263
256	257413	744195
257	258631	743816
258	259750	743147
259	260898	742558
260	261990	741803
261	263115	741140
262	264309	740669
263	265468	740094
264	266523	739224
265	267757	738849
266	268897	738208
267	270064	737638
268	271042	736551
269	272281	736169
270	273454	735603
271	274660	735122
272	275837	734556
273	276995	733937
274	278096	733164
275	279360	732815
276	280363	731778
277	281485	731053
278	282558	730195
279	283711	729544
280	284740	728570
281	285830	727753
282	286889	726854
283	288174	726523
284	289345	725902
285	290493	725219
286	291537	724271
287	292580	723324
288	293570	722243
289	294724	721565
290	295801	720697
291	296987	720094
292	298053	719193
293	299240	718583
294	300245	717534
295	301336	716692
296	302445	715890
297	303427	714785
298	304651	714249
299	305682	713259
300	306755	712365
301	307985	711834
302	309192	711245
303	310435	710734
304	311709	710289
305	312824	709478
306	313996	708792
307	315239	708265
308	316612	708024
309	317994	707793
310	319444	707708
311	320732	707256
312	321862	706452
313	323048	705767
314	324448	705546
315	325696	704989
316	327024	704597
317	328291	704070
318	329559	703541
319	330701	702740
320	331739	701717
321	332985	701131
322	334073	700210
323	335310	699597
324	336513	698911
325	337681	698150
326	338767	697219
327	340107	696805
328	341210	695902
329	342157	694684
330	343434	694131
331	344655	693462
332	345798	692635
333	346792	691508
334	348050	690906
335	349280	690245
336	350502	689564
337	351621	688677
338	352762	687833
339	353730	686653
340	354837	685741
341	356087	685104
342	357376	684537
343	358572	683788
344	359874	683239
345	361141	682620
346	362360	681906
347	363305	680675
348	364463	679843
349	365692	679143
350	366995	678574
351	368167	677763
352	369403	677066
353	370728	676527
354	371817	675555
355	372972	674703
356	374195	673971
357	375329	673077
358	376519	672281
359	377696	671459
360	378694	670320
361	379810	669390
362	380812	668257
363	381910	667293
364	383208	666677
365	384280	665666
366	385305	664573
367	386351	663516
368	387514	662659
369	388737	661905
370	389882	661014
371	391079	660210
372	392400	659611
373	393744	659048
374	394916	658194
375	396105	657366
376	397160	656315
377	398192	655226
378	399287	654241
379	400556	653539
380	401623	652506
381	402714	651512
382	403773	650465
383	405087	649828
384	406327	649069
385	407442	648108
386	408555	647143
387	409529	645959
388	410637	644985
389	411820	644129
390	413209	643592
391	414378	642710
392	415407	641609
393	416527	640648
394	417719	639797
395	418960	639019
396	420112	638104
397	421378	637362
398	422443	636312
399	423624	635436
400	424754	634483
401	426016	633725
402	427201	632852
403	428327	631889
404	429535	631045
405	430881	630402
406	432094	629562
407	433230	628609
408	434767	628233
409	436070	627515
410	437233	626594
411	438617	625988
412	440148	625586
413	441486	624906
414	442767	624141
415	443993	623298
416	445307	622576
417	446630	621863
418	447947	621139
419	449290	620449
420	450655	619785
421	451801	618817
422	452905	617792
423	453993	616746
424	455123	615755
425	456430	615002
426	457782	614308
427	459032	613473
428	460189	612512
429	461355	611563
430	462602	610721
431	463715	609700
432	464836	608689
433	465966	607688
434	467152	606761
435	468249	605717
436	469433	604785
437	470582	603807
438	471686	602769
439	472639	601541
440	473864	600658
441	475080	599762
442	476371	598959
443	477624	598106
444	478779	597128
445	479797	595981
446	481038	595109
447	482268	594223
448	483487	593322
449	484678	592384
450	485798	591360
451	486889	590299
452	487978	589237
453	489207	588342
454	490387	587387
455	491654	586534
456	492672	585385
457	493704	584252
458	494814	583212
459	496008	582270
460	497189	581312
461	498360	580342
462	499492	579325
463	500714	578411
464	501761	577295
465	502957	576350
466	503968	575193
467	505130	574208
468	506270	573197
469	507411	572187
470	508530	571152
471	509769	570250
472	511015	569355
473	512241	568437
474	513417	567461
475	514402	566275
476	515482	565193
477	516645	564203
478	517880	563289
479	518898	562140
480	520089	561177
481	521238	560168
482	522319	559087
483	523488	558099
484	524674	557128
485	526008	556313
486	527312	555465
487	528590	554586
488	529500	553322
489	530649	552308
490	531964	551466
491	533009	550342
492	534178	549348
493	535390	548395
494	536439	547276
495	537612	546283
496	538796	545301
497	540070	544408
498	541265	543434
499	542456	542456
500	543615	541445
501	544792	540451
502	546000	539487
503	547183	538498
504	548382	537523
505	549571	536538
506	550875	535664
507	551998	534612
508	553283	533717
509	554590	532841
510	556021	532083
511	557303	531179
512	558663	530349
513	560125	529612
514	561342	528642
515	562747	527847
516	563993	526903
517	565354	526063
518	566612	525126
519	567956	524267
520	569178	523294
521	570315	522243
522	571463	521200
523	572687	520227
524	573834	519183
525	574809	517984
526	575903	516892
527	577040	515838
528	578240	514841
529	579420	513825
530	580644	512847
531	581671	511695
532	582893	510715
533	584080	509702
534	585296	508715
535	586390	507621
536	587583	506612
537	588766	505595
538	590062	504673
539	591392	503778
540	592583	502765
541	593832	501799
542	594869	500654
543	596088	499662
544	597179	498562
545	598317	497501
546	599463	496448
547	600646	495423
548	601835	494404
549	602996	493360
550	604028	492211
551	605267	491231
552	606550	490285
553	607787	489301
554	608806	488141
555	610089	487193
556	611346	486223
557	612497	485168
558	613663	484124
559	614855	483100
560	615861	481930
561	617095	480938
562	618128	479790
563	619334	478776
564	620483	477717
565	621539	476587
566	622735	475563
567	623912	474524
568	624966	473392
569	626130	472344
570	627132	471173
571	628121	469993
572	629328	468975
573	630507	467937
574	631736	466935
575	632725	465756
576	633859	464683
577	635046	463650
578	636031	462468
579	637311	461501
580	638556	460508
581	639780	459498
582	640901	458415
583	642106	457390
584	643258	456329
585	644429	455279
586	645399	454088
587	646508	452995
588	647804	452033
589	648785	450850
590	649966	449807
591	651200	448800
592	652400	447768
593	653585	446726
594	654844	445734
595	655913	444612
596	657122	443584
597	658382	442591
598	659611	441576
599	660779	440519
600	662112	439571
601	663089	438388
602	664316	437369
603	665501	436322
604	666698	435282
605	667996	434307
606	669161	433246
607	670499	432295
608	671709	431261
609	672978	430265
610	674279	429287
611	675597	428320
612	677030	427423
613	678387	426477
614	679586	425432
615	681004	424522
616	682431	423616
617	683744	422638
618	685134	421706
619	686324	420650
620	687680	419695
621	689139	418801
622	690330	417744
623	691378	416599
624	692377	415426
625	693627	414403
626	694804	413336
627	696040	412304
628	697174	411210
629	698484	410221
630	699614	409124
631	700787	408053
632	701837	406910
633	702931	405793
634	703914	404612
635	705184	403595
636	706202	402435
637	707434	401397
638	708599	400320
639	709735	399226
640	710948	398175
641	712010	397040
642	713242	395999
643	714572	395011
644	715575	393843
645	716613	392695
646	717834	391646
647	718955	390543
648	720088	389447
649	721333	388410
650	722623	387397
651	723856	386352
652	725114	385321
653	726338	384270
654	727474	383173
655	728572	382056
656	729830	381022
657	731215	380054
658	732213	378884
659	733299	377760
660	734499	376695
661	735582	375569
662	736709	374466
663	737787	373338
664	738842	372198
665	739895	371058
666	741133	370011
667	742430	368992
668	743474	367847
669	744587	366737
670	745839	365694
671	747008	364611
672	747994	363438
673	749078	362313
674	750234	361224
675	751228	360056
676	752504	359023
677	753528	357870
678	754686	356781
679	755978	355754
680	756964	354584
681	758178	353520
682	759365	352443
683	760576	351377
684	761744	350291
685	763012	349250
686	764278	348208
687	765310	347059
688	766384	345929
689	767537	344835
690	768809	343794
691	769910	342676
692	770966	341539
693	772083	340428
694	773256	339342
695	774449	338265
696	775597	337168
697	776595	336005
698	777683	334882
699	778855	333795
700	780039	332712
701	781038	331551
702	782300	330502
703	783477	329416
704	784660	328333
705	785891	327269
706	787104	326197
707	788380	325151
708	789601	324081
709	790962	323069
710	792187	322000
711	793486	320960
712	794661	319870
713	796075	318876
714	797415	317851
715	798592	316760
716	799806	315683
717	801112	314643
718	802342	313571
719	803553	312493
720	804880	311458
721	806319	310466
722	807631	309424
723	808825	308336
724	809877	307194
725	811106	306120
726	812225	305003
727	813218	303839
728	814532	302796
729	815828	301744
730	817088	300679
731	818019	299493
732	819101	298363
733	820132	297214
734	821311	296119
735	822494	295025
736	823687	293934
737	825010	292889
738	826213	291801
739	827519	290750
740	828763	289675
741	829753	288512
742	830858	287389
743	832055	286298
744	833100	285155
745	834188	284026
746	835465	282962
747	836635	281861
748	837861	280778
749	839199	279733
750	840303	278609
751	841442	277497
752	842625	276399
753	843824	275306
754	844953	274190
755	846155	273097
756	847280	271980
757	848390	270858
758	849425	269712
759	850492	268576
760	851877	267540
761	853124	266461
762	854397	265389
763	855670	264317
764	856821	263206
765	858016	262109
766	859096	260977
767	860145	259835
768	861322	258732
769	862488	257626
770	863575	256496
771	864768	255397
772	865811	254255
773	867048	253169
774	868264	252076
775	869306	250933
776	870468	249825
777	871516	248684
778	872634	247563
779	873841	246468
780	874909	245333
781	876127	244240
782	877364	243152
783	878498	242035
784	879601	240909
785	880916	239842
786	882209	238768
787	883251	237626
788	884529	236547
789	885633	235421
790	886908	234341
791	887980	233207
792	889018	232064
793	890199	230958
794	891251	229819
795	892506	228732
796	893628	227611
797	894839	226513
798	896000	225401
799	897042	224260
800	898183	223144
801	899196	221996
802	900280	220865
803	901372	219737
804	902548	218629
805	903714	217519
806	904811	216392
807	905917	215267
808	906932	214121
809	908184	213030
810	909437	211940
811	910739	210860
812	911948	209759
813	913445	208723
814	914885	207673
815	916199	206593
816	917649	205544
817	918951	204461
818	920380	203405
819	921837	202354
820	923257	201294
821	924662	200231
822	926023	199156
823	927372	198079
824	928510	196956
825	929704	195845
826	930908	194736
827	932192	193643
828	933425	192540
829	934525	191408
830	935584	190269
831	936530	189107
832	937615	187973
833	938610	186821
834	939727	185694
835	940903	184579
836	941971	183442
837	943142	182325
838	944374	181220
839	945654	180124
840	946796	179002
841	948081	177905
842	949178	176774
843	950352	175657
844	951641	174561
845	952749	173431
846	953916	172313
847	954924	171165
848	956112	170050
849	957414	168955
850	958565	167833
851	959832	166731
852	960935	165600
853	962151	164489
854	963261	163360
855	964346	162226
856	965377	161084
857	966609	159974
858	967609	158827
859	968719	157698
860	969792	156563
861	971157	155475
862	972434	154372
863	973484	153233
864	974885	152149
865	976398	151082
866	977643	149973
867	978722	148838
868	979930	147722
869	981116	146603
870	982108	145455
871	983215	144325
872	984602	143235
873	986144	142167
874	987390	141055
875	988597	139938
876	989872	138830
877	991035	137706
878	992094	136568
879	993236	135441
880	994247	134296
881	995490	133183
882	996837	132083
883	998410	131013
884	999765	129913
885	1001418	128850
886	1003079	127787
887	1004331	126672
888	1005690	125569
889	1007277	124495
890	1008666	123394
891	1010235	122315
892	1011486	121197
893	1012778	120083
894	1014250	118990
895	1015355	117853
896	1016506	116722
897	1017992	115629
898	1019652	114554
899	1020814	113423
900	1022114	112307
901	1023394	111189
902	1024599	110062
903	1026011	108956
904	1027410	107849
905	1028432	106702
906	1029712	105582
907	1031193	104482
908	1032497	103363
909	1033871	102250
910	1035048	101118
911	1036369	100000
912	1037651	98878
913	1038831	97745
914	1040198	96630
