iter	MultiClass
142	1.180433533
143	1.180425891
144	1.180400615
145	1.180389749
146	1.180309383
147	1.179713537
148	1.179711316
149	1.179478096
150	1.179267354
151	1.179249215
152	1.178527208
153	1.178140898
154	1.178140461
155	1.177628611
156	1.17730671
157	1.17721479
158	1.177185491
159	1.176805878
160	1.176664249
161	1.176642363
162	1.176601051
163	1.176046702
164	1.175880964
165	1.175865761
166	1.175862714
167	1.175842783
168	1.175820272
169	1.175711967
170	1.17570472
171	1.175601244
172	1.175595848
173	1.174995568
174	1.174641456
175	1.174640684
176	1.174417716
177	1.174200347
178	1.174103754
179	1.17409346
180	1.173843113
181	1.173750789
182	1.173685776
183	1.17345643
184	1.173413827
185	1.172803589
186	1.172553367
187	1.171921164
188	1.171785947
189	1.171760301
190	1.171737636
191	1.171706182
192	1.17126855
193	1.171052359
194	1.171017964
195	1.170976124
196	1.17072204
197	1.170562133
198	1.170505887
199	1.170141288
200	1.170107106
201	1.16966013
202	1.169658759
203	1.169563721
204	1.168905373
205	1.168700424
206	1.168068368
207	1.167459782
208	1.167455281
209	1.167169743
210	1.16694893
211	1.166703708
212	1.166424074
213	1.16572389
214	1.164910182
215	1.16450437
216	1.163878481
217	1.163297383
218	1.162749684
219	1.161909829
220	1.161179812
221	1.160841018
222	1.160833075
223	1.160355221
224	1.160320879
225	1.159944785
226	1.159889561
227	1.159288486
228	1.158938421
229	1.158325482
230	1.158208628
231	1.15778615
232	1.157590364
233	1.157408212
234	1.156941916
235	1.156162289
236	1.155977894
237	1.155865712
238	1.155610761
239	1.155597603
240	1.155115036
241	1.154860564
242	1.154640963
243	1.153982949
244	1.15364461
245	1.153464715
246	1.153268642
247	1.153044757
248	1.152390667
249	1.151923125
250	1.151131703
251	1.151009632
252	1.150785738
253	1.150142084
254	1.1498234
255	1.14931366
256	1.149019711
257	1.148945605
258	1.148469465
259	1.14800289
260	1.147553459
261	1.147267229
262	1.147037891
263	1.146563386
264	1.146317002
265	1.146170121
266	1.145714706
267	1.145387945
268	1.144985982
269	1.144709174
270	1.144550879
271	1.144205048
272	1.143854171
273	1.143615229
274	1.143281963
275	1.142990074
276	1.142694745
277	1.142451083
278	1.141858883
279	1.141423693
280	1.141056847
281	1.140967502
282	1.140642975
283	1.140541181
284	1.140336112
285	1.140077611
286	1.139689168
287	1.139329321
288	1.138938173
289	1.138724676
290	1.138581302
291	1.138110453
292	1.137858516
293	1.137709788
294	1.137313823
295	1.137232516
296	1.137151526
297	1.13658059
298	1.136432086
299	1.136037834
300	1.135660248
301	1.135535499
302	1.135392388
303	1.135277874
304	1.135127954
305	1.134711738
306	1.134333663
307	1.134123338
308	1.134039247
309	1.133932411
310	1.13383573
311	1.133698325
312	1.133578123
313	1.133323198
314	1.133025644
315	1.132846462
316	1.132523465
317	1.132393755
318	1.132038171
319	1.131905547
320	1.131677945
321	1.131566208
322	1.131377055
323	1.131265883
324	1.131209912
325	1.13089005
326	1.130787301
327	1.130563766
328	1.130319133
329	1.130009813
330	1.129932162
331	1.129718814
332	1.129547328
333	1.129249555
334	1.12907142
335	1.128912566
336	1.128756268
337	1.128577007
338	1.128437884
339	1.128144024
340	1.128072027
341	1.127975485
342	1.127835902
343	1.127648613
344	1.127561556
345	1.12741764
346	1.127174693
347	1.126954532
348	1.126741043
349	1.126614157
350	1.126416867
351	1.126252337
352	1.126106618
353	1.12602428
354	1.125778723
355	1.125575243
356	1.125453685
357	1.125280456
358	1.125084175
359	1.124985914
360	1.124927197
361	1.124818474
362	1.124652224
363	1.124472225
364	1.12440928
365	1.1242647
366	1.124091078
367	1.123873338
368	1.12365159
369	1.123562257
370	1.123416472
371	1.12324219
372	1.123163938
373	1.123027796
374	1.122845192
375	1.1227092
376	1.122523888
377	1.122366869
378	1.122185792
379	1.122129844
380	1.121955741
381	1.121788665
382	1.121631721
383	1.121492379
384	1.121311662
385	1.121248587
386	1.121156651
387	1.120923621
388	1.120749217
389	1.120594494
390	1.120502828
391	1.12034587
392	1.120143284
393	1.120059598
394	1.119999089
395	1.119904427
396	1.119743099
397	1.119621305
398	1.119446379
399	1.119257315
400	1.119144872
401	1.118984772
402	1.118813595
403	1.11869328
404	1.118609947
405	1.118353526
406	1.118232485
407	1.118017282
408	1.117869959
409	1.117740003
410	1.117511243
411	1.117411099
412	1.117337725
413	1.117196296
414	1.117141366
415	1.117066166
416	1.116940851
417	1.11678734
418	1.11657535
419	1.11653161
420	1.116419709
421	1.116395619
422	1.116224478
423	1.116123226
424	1.115949025
425	1.115863819
426	1.115762729
427	1.115578298
428	1.115450322
429	1.115322987
430	1.115265324
431	1.115128029
432	1.114947682
433	1.114894188
434	1.114781862
435	1.114602361
436	1.11451259
437	1.114469213
438	1.114393157
439	1.114233202
440	1.11414917
441	1.114018538
442	1.113922387
443	1.11386981
444	1.113802194
445	1.11375152
446	1.113655581
447	1.113508894
448	1.113369767
449	1.113296842
450	1.113185145
451	1.113133414
452	1.112974486
453	1.112866062
454	1.11272708
455	1.112666939
456	1.112634053
457	1.11244826
458	1.112357628
459	1.112242268
460	1.112178896
461	1.112104365
462	1.112061439
463	1.111961655
464	1.11188608
465	1.111768293
466	1.111599892
467	1.111442625
468	1.111217252
469	1.111156002
470	1.111067583
471	1.110925528
472	1.110855929
473	1.110719525
474	1.110605531
475	1.110563539
476	1.110470545
477	1.110314682
478	1.110114595
479	1.110015124
480	1.109819253
481	1.109685619
482	1.109477429
483	1.109403546
484	1.109281742
485	1.109168869
486	1.109103737
487	1.109004115
488	1.10899118
489	1.108863999
490	1.108824896
491	1.108671865
492	1.108562555
493	1.1084509
494	1.108288788
495	1.108210897
496	1.10813002
497	1.108087117
498	1.107996029
499	1.107883152
500	1.107801615
501	1.107689645
502	1.107549464
503	1.107476599
504	1.107371831
505	1.107249583
506	1.107161285
507	1.107033498
508	1.106927106
509	1.106843393
510	1.106823731
511	1.106693467
512	1.10661634
513	1.106594928
514	1.106531089
515	1.10647673
516	1.106447282
517	1.106355865
518	1.106321748
519	1.106239391
520	1.10616561
521	1.106010892
522	1.105860887
523	1.10577974
524	1.105543805
525	1.105489959
526	1.105312394
527	1.105214263
528	1.105107522
529	1.104952157
530	1.104836636
531	1.104618393
532	1.104556495
533	1.104428041
534	1.104337514
535	1.104261766
536	1.104105975
537	1.104010916
538	1.103943695
539	1.103747813
540	1.103580543
541	1.103524684
542	1.103417175
543	1.103331012
544	1.10327362
545	1.103165951
546	1.103095751
547	1.103022265
548	1.102968665
549	1.102857875
550	1.102727326
551	1.102675287
552	1.102570066
553	1.102446343
554	1.102322664
555	1.102243717
556	1.102109881
557	1.101998124
558	1.101969442
559	1.101919588
560	1.101846667
561	1.101794565
562	1.101712679
563	1.101629242
564	1.101582438
565	1.101529852
566	1.101437904
567	1.101294796
568	1.101232921
569	1.101120657
570	1.100911433
571	1.100828458
572	1.100733534
573	1.100699539
574	1.100618647
575	1.10048153
576	1.100374829
577	1.100278232
578	1.100195541
579	1.100185526
580	1.100048616
581	1.099917062
582	1.099766679
583	1.099718578
584	1.099635029
585	1.099546388
586	1.099474124
587	1.099351119
588	1.099314194
589	1.099200392
590	1.099109536
591	1.099000701
592	1.098967016
593	1.0988893
594	1.098800679
595	1.098770939
596	1.098652338
597	1.098579208
598	1.098430998
599	1.098411026
600	1.098336408
601	1.098235424
602	1.098194645
603	1.098129776
604	1.09803242
605	1.097904013
606	1.097821634
607	1.09773123
608	1.097640248
609	1.097517983
610	1.097469833
611	1.097282026
612	1.097227045
613	1.0971676
614	1.097109481
615	1.096995991
616	1.096931678
617	1.096843559
618	1.096720688
619	1.09664139
620	1.096558913
621	1.096505646
622	1.096318526
623	1.096232502
624	1.09615729
625	1.096071321
626	1.096027675
627	1.095926927
628	1.095816963
629	1.095740256
630	1.095703381
631	1.09558094
632	1.095552093
633	1.09543993
634	1.095393004
635	1.095292701
636	1.095204115
637	1.095107996
638	1.095052642
639	1.094919828
640	1.094865855
641	1.094727271
642	1.094666318
643	1.09462076
644	1.094501611
645	1.094320116
646	1.094272108
647	1.094189425
648	1.094155323
649	1.094039255
650	1.093984714
651	1.093898562
652	1.093846375
653	1.093786901
654	1.093701867
655	1.093619139
656	1.093560683
657	1.093415729
658	1.093355765
659	1.093315594
660	1.093262352
661	1.09322495
662	1.093116168
663	1.093078441
664	1.092990064
665	1.092928764
666	1.092831144
667	1.092772927
668	1.092670126
669	1.092565759
670	1.092509359
671	1.092434194
672	1.092346106
673	1.092267609
674	1.0921449
675	1.092042208
676	1.091962231
677	1.09185473
678	1.091754421
679	1.091669962
680	1.09157472
681	1.091499127
682	1.091442373
683	1.091352052
684	1.091274671
685	1.091200961
686	1.091123828
687	1.091052117
688	1.090957024
689	1.090871436
690	1.090791628
691	1.090629512
692	1.090567623
693	1.090495911
694	1.09044039
695	1.090365805
696	1.09030006
697	1.090182467
698	1.090116663
699	1.090059469
700	1.089997014
701	1.089874642
702	1.089744464
703	1.089670691
704	1.089626071
705	1.08954139
706	1.08948333
707	1.089407513
708	1.089333981
709	1.08928649
710	1.089188427
711	1.089047064
712	1.088895842
713	1.08881785
714	1.088758965
715	1.088650593
716	1.088544436
717	1.088505874
718	1.088375579
719	1.088347579
720	1.088227161
721	1.088136367
722	1.088068899
723	1.088000903
724	1.087943336
725	1.087854692
726	1.087786405
727	1.087745235
728	1.087639686
729	1.087520858
730	1.0874134
731	1.087355034
732	1.087221917
733	1.087159178
734	1.087063608
735	1.087031584
736	1.086970459
737	1.086922629
738	1.086861744
739	1.086814038
740	1.0867469
741	1.086605923
742	1.086521812
743	1.086373722
744	1.086326849
745	1.0862013
746	1.08609201
747	1.086026483
748	1.085960633
749	1.085928622
750	1.08586024
751	1.085779273
752	1.085741872
753	1.085679435
754	1.085553777
755	1.085468386
756	1.085375371
757	1.085257724
758	1.085160064
759	1.085071796
760	1.085008293
761	1.084969492
762	1.084899462
763	1.084719119
764	1.084595811
765	1.084539127
766	1.084425001
767	1.084317252
768	1.084254249
769	1.08419444
770	1.084113682
771	1.084021923
772	1.083931838
773	1.083885007
774	1.083739706
775	1.083646798
776	1.083568192
777	1.083526022
778	1.08344857
779	1.083396717
780	1.083278039
781	1.083165177
782	1.08308705
783	1.082999554
784	1.082900661
785	1.082803869
786	1.082715887
787	1.082649361
788	1.082594956
789	1.082530155
790	1.08242599
791	1.082362395
792	1.082275228
793	1.0822375
794	1.082117638
795	1.082005303
796	1.081963247
797	1.081917465
798	1.081859675
799	1.081784496
800	1.081739372
801	1.081649882
802	1.081520542
803	1.081461582
804	1.081398355
805	1.081303562
806	1.081198244
807	1.081141539
808	1.080979217
809	1.080919634
810	1.080795566
811	1.080758383
812	1.080679303
813	1.080637439
814	1.080600915
815	1.080537904
816	1.080479739
817	1.080398451
818	1.080333866
819	1.080275267
820	1.080141555
821	1.080068376
822	1.080012077
823	1.079941206
824	1.079904006
825	1.079836676
826	1.079820658
827	1.079751298
828	1.079656477
829	1.079612541
830	1.079574527
831	1.079471809
832	1.07939262
833	1.079294441
834	1.079222991
835	1.079124493
836	1.079063556
837	1.078970672
838	1.078852839
839	1.078813999
840	1.07871421
841	1.078662748
842	1.07857244
843	1.078538863
844	1.078498323
845	1.07840271
846	1.078347807
847	1.078280486
848	1.078241591
849	1.078175679
850	1.078138711
851	1.078077663
852	1.07793788
853	1.077917082
854	1.077852685
855	1.077807318
856	1.07764661
857	1.077528262
858	1.077472202
859	1.077436972
860	1.077365075
861	1.077283524
862	1.077187816
863	1.077102327
864	1.07698988
865	1.076961066
866	1.076811067
867	1.076641129
868	1.076619751
869	1.076502998
870	1.076488884
871	1.076402076
872	1.076357529
873	1.076290446
874	1.076218398
875	1.076174792
876	1.076096704
877	1.07602129
878	1.075921008
879	1.075882957
880	1.075746649
881	1.07566481
882	1.075563146
883	1.075492542
884	1.075408356
885	1.075314489
886	1.075262061
887	1.075184869
888	1.075139044
889	1.075055194
890	1.07501537
891	1.074949265
892	1.074849199
893	1.07482848
894	1.074776803
895	1.074729469
896	1.074610913
897	1.074586091
898	1.074538989
899	1.074444554
900	1.074396941
901	1.074331674
902	1.074267871
903	1.07424628
904	1.07417464
905	1.07412373
906	1.074014529
907	1.073940091
908	1.073870055
909	1.073740185
910	1.073597273
911	1.073510364
912	1.073435478
913	1.073379186
914	1.073305913
